                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.50258,                0.45218,                 1.0361,                0.97017,                 0.9382,                0.97479,                0.88996,                0.38343,                0.72124,                0.86599,              0.0076834,              0.0076834,              0.0076834
                    119,                0.50544,                0.45551,                 1.0378,                 0.9777,                0.94101,                0.97888,                0.89456,                0.38743,                 0.7831,                0.86945,              0.0076636,              0.0076636,              0.0076636
                    120,                0.50563,                 0.4562,                 1.0408,                0.96209,                0.94947,                0.97739,                0.89363,                 0.3812,                0.68334,                0.86039,              0.0076438,              0.0076438,              0.0076438
                    121,                0.48912,                0.43819,                 1.0327,                 0.9671,                0.93531,                0.97366,                0.88867,                0.37972,                0.79741,                0.85827,               0.007624,               0.007624,               0.007624
                    122,                0.49059,                0.44549,                 1.0356,                0.97883,                0.92788,                 0.9759,                0.89302,                0.37946,                  0.622,                0.86036,              0.0076042,              0.0076042,              0.0076042
                    123,                0.50896,                0.45304,                 1.0373,                 0.9649,                0.93617,                0.97441,                0.89207,                0.38259,                0.60975,                0.86028,              0.0075844,              0.0075844,              0.0075844
                    124,                0.50861,                0.45846,                 1.0393,                0.97634,                0.93318,                0.97793,                0.89612,                0.37457,                 0.7312,                 0.8601,              0.0075646,              0.0075646,              0.0075646
                    125,                0.50063,                0.44879,                 1.0357,                0.97372,                0.92922,                0.97616,                0.89354,                0.37212,                0.59707,                0.85743,              0.0075448,              0.0075448,              0.0075448
                    126,                0.50245,                0.43896,                 1.0397,                0.96533,                0.92109,                0.97437,                 0.8912,                0.38354,                0.74419,                0.86222,               0.007525,               0.007525,               0.007525
                    127,                0.49329,                0.44509,                 1.0325,                0.97376,                 0.9286,                0.97526,                0.89315,                0.38553,                0.85765,                 0.8671,              0.0075052,              0.0075052,              0.0075052
                    128,                0.50154,                 0.4459,                 1.0394,                0.97824,                0.91932,                0.97725,                0.89819,                0.37706,                0.69603,                0.86431,              0.0074854,              0.0074854,              0.0074854
                    129,                0.49523,                0.43374,                 1.0367,                0.97269,                0.93634,                0.97508,                0.89361,                0.37488,                0.78304,                0.85588,              0.0074656,              0.0074656,              0.0074656
                    130,                0.48915,                0.44391,                 1.0261,                0.97028,                0.93736,                0.97317,                0.89253,                0.37472,                0.72303,                0.85824,              0.0074458,              0.0074458,              0.0074458
                    131,                0.49015,                0.44112,                 1.0277,                0.97041,                0.93914,                0.97577,                0.89439,                0.37777,                0.66504,                0.86088,               0.007426,               0.007426,               0.007426
                    132,                0.49621,                0.43554,                 1.0357,                0.97588,                0.93071,                0.97783,                0.89879,                0.37509,                0.60363,                 0.8588,              0.0074062,              0.0074062,              0.0074062
                    133,                0.49776,                0.43718,                 1.0359,                0.97319,                0.93932,                0.97868,                0.89874,                0.37658,                0.50073,                 0.8563,              0.0073864,              0.0073864,              0.0073864
                    134,                0.49001,                0.43108,                 1.0317,                0.97493,                 0.9267,                0.97627,                0.90038,                0.37136,                0.49803,                0.85236,              0.0073666,              0.0073666,              0.0073666
                    135,                0.48888,                0.43163,                 1.0284,                  0.985,                0.92282,                0.97932,                0.89973,                0.37247,                0.87857,                0.85824,              0.0073468,              0.0073468,              0.0073468
                    136,                0.48741,                0.42736,                  1.029,                0.95712,                 0.9343,                0.97446,                0.89298,                0.38477,                0.66102,                0.86753,               0.007327,               0.007327,               0.007327
                    137,                0.49797,                0.43875,                 1.0298,                0.97851,                0.93495,                0.97891,                0.89603,                0.36992,                0.78232,                0.85448,              0.0073072,              0.0073072,              0.0073072
                    138,                0.48375,                0.42393,                 1.0287,                0.96355,                0.93923,                0.97591,                0.89455,                0.37555,                0.67635,                0.85896,              0.0072874,              0.0072874,              0.0072874
                    139,                0.47999,                0.42544,                 1.0218,                0.96694,                0.92977,                0.97428,                0.89742,                0.37524,                 0.6222,                0.85442,              0.0072676,              0.0072676,              0.0072676
                    140,                0.49225,                0.43389,                 1.0311,                0.96534,                 0.9359,                0.97368,                0.89608,                0.38308,                0.59286,                0.86786,              0.0072478,              0.0072478,              0.0072478
                    141,                0.48674,                0.42543,                 1.0258,                0.97354,                 0.9265,                0.97197,                0.89307,                0.37462,                0.55759,                0.85559,               0.007228,               0.007228,               0.007228
                    142,                0.47651,                0.41969,                 1.0245,                0.97685,                0.92733,                0.97153,                0.89408,                0.37581,                0.59857,                0.85738,              0.0072082,              0.0072082,              0.0072082
                    143,                0.48066,                0.42022,                 1.0206,                0.98057,                0.92849,                0.97303,                0.89728,                0.37316,                 0.4117,                0.85344,              0.0071884,              0.0071884,              0.0071884
                    144,                0.48062,                0.42888,                 1.0221,                0.97238,                0.93403,                0.97284,                0.89801,                0.36823,                0.39206,                0.84981,              0.0071686,              0.0071686,              0.0071686
                    145,                0.48214,                  0.419,                 1.0266,                0.97632,                0.93336,                0.97546,                0.89746,                0.37266,                0.46156,                0.85116,              0.0071488,              0.0071488,              0.0071488
                    146,                0.48468,                0.43125,                 1.0213,                0.98421,                0.93001,                 0.9756,                0.89672,                0.37451,                0.48149,                0.85377,               0.007129,               0.007129,               0.007129
                    147,                0.48519,                0.42609,                 1.0317,                 0.9784,                0.92768,                0.97348,                0.89664,                0.36992,                 0.5631,                0.85028,              0.0071092,              0.0071092,              0.0071092
                    148,                0.47686,                0.42362,                 1.0221,                0.97922,                0.93099,                0.97341,                0.89992,                0.36568,                0.55532,                0.84884,              0.0070894,              0.0070894,              0.0070894
                    149,                0.47317,                0.41606,                  1.024,                0.96911,                0.93941,                0.97598,                0.90022,                0.36818,                0.53825,                0.84658,              0.0070696,              0.0070696,              0.0070696
                    150,                0.47997,                0.42692,                 1.0254,                0.96985,                0.94137,                0.97545,                0.89908,                0.36468,                0.51575,                0.84481,              0.0070498,              0.0070498,              0.0070498
                    151,                 0.4731,                0.41087,                 1.0214,                0.97197,                0.93204,                0.97602,                0.90104,                0.36277,                0.45778,                0.84691,                0.00703,                0.00703,                0.00703
                    152,                0.47049,                0.41054,                 1.0177,                0.95617,                0.93431,                0.97444,                0.89991,                0.36544,                0.57124,                0.84793,              0.0070102,              0.0070102,              0.0070102
                    153,                0.47895,                0.41498,                 1.0265,                0.95691,                0.94378,                0.97795,                0.90074,                0.36622,                0.46995,                0.84583,              0.0069904,              0.0069904,              0.0069904
                    154,                0.47667,                0.42277,                 1.0257,                0.96316,                0.94207,                0.97699,                0.89907,                0.36603,                0.63094,                0.84546,              0.0069706,              0.0069706,              0.0069706
                    155,                0.47584,                0.40577,                 1.0231,                 0.9728,                0.92976,                0.97581,                 0.8993,                0.36906,                0.57375,                0.85099,              0.0069508,              0.0069508,              0.0069508
